C-LSTM
Test Subject Id: 6 | Val Subject Id: 1
Epoch: 1 | Train Loss: 0.02158
Validation | Loss: 0.02157
Epoch: 2 | Train Loss: 0.01532
Validation | Loss: 0.02169
Epoch: 3 | Train Loss: 0.01551
Validation | Loss: 0.02680
Epoch: 4 | Train Loss: 0.01726
Validation | Loss: 0.02765
Epoch: 5 | Train Loss: 0.01725
Validation | Loss: 0.01921
Epoch: 6 | Train Loss: 0.01510
Validation | Loss: 0.02495
Epoch: 7 | Train Loss: 0.01603
Validation | Loss: 0.02126
Epoch: 8 | Train Loss: 0.01475
Validation | Loss: 0.02253
Epoch: 9 | Train Loss: 0.01563
Validation | Loss: 0.02267
Epoch: 10 | Train Loss: 0.01669
Validation | Loss: 0.02869
Epoch: 11 | Train Loss: 0.01444
Validation | Loss: 0.02543
Epoch: 12 | Train Loss: 0.01722
Validation | Loss: 0.01861
Epoch: 13 | Train Loss: 0.01501
Validation | Loss: 0.02211
Epoch: 14 | Train Loss: 0.01501
Validation | Loss: 0.02247
Epoch: 15 | Train Loss: 0.01372
Validation | Loss: 0.02085
Epoch: 16 | Train Loss: 0.01342
Validation | Loss: 0.02005
Epoch: 17 | Train Loss: 0.01363
Validation | Loss: 0.02021
Epoch: 18 | Train Loss: 0.01449
Validation | Loss: 0.02302
Epoch: 19 | Train Loss: 0.01365
Validation | Loss: 0.02096
Epoch: 20 | Train Loss: 0.01311
Validation | Loss: 0.02072
Epoch: 21 | Train Loss: 0.01337
Validation | Loss: 0.02067
Epoch: 22 | Train Loss: 0.01331
Validation | Loss: 0.02069
Epoch: 23 | Train Loss: 0.01359
Validation | Loss: 0.01972
Epoch: 24 | Train Loss: 0.01334
Validation | Loss: 0.02080
Epoch: 25 | Train Loss: 0.01288
Validation | Loss: 0.02093
Epoch: 26 | Train Loss: 0.01291
Validation | Loss: 0.02057
Epoch: 27 | Train Loss: 0.01280
Validation | Loss: 0.01988
Epoch: 28 | Train Loss: 0.01281
Validation | Loss: 0.02404
Epoch: 29 | Train Loss: 0.01305
Validation | Loss: 0.02169
Epoch: 30 | Train Loss: 0.01278
Validation | Loss: 0.02071
Epoch: 31 | Train Loss: 0.01290
Validation | Loss: 0.02081
Epoch: 32 | Train Loss: 0.01281
Validation | Loss: 0.02031
Epoch: 33 | Train Loss: 0.01269
Validation | Loss: 0.02098
Epoch: 34 | Train Loss: 0.01268
Validation | Loss: 0.02064
Epoch: 35 | Train Loss: 0.01262
Validation | Loss: 0.02012
Epoch: 36 | Train Loss: 0.01264
Validation | Loss: 0.02107
Epoch: 37 | Train Loss: 0.01270
Validation | Loss: 0.02011
Early stopping triggered on epoch 37
Epoch: 1 | TL Loss: 0.01019
Epoch: 2 | TL Loss: 0.00899
Epoch: 3 | TL Loss: 0.00826
Epoch: 4 | TL Loss: 0.00795
Epoch: 5 | TL Loss: 0.00775
Before TL:
Test | Loss: 0.01879
After TL:
Test | Loss: 0.01860
